year,night,bat,roost,sexage,minute
2019,142,37,A,old female,49
2019,142,6,A,old female,47
2019,142,11,A,young female,44
2019,142,38,A,young female,42
2019,142,38,A,young female,41
2019,142,47,A,young female,38
2019,142,64,A,old female,37
2019,142,3,A,young female,37
2019,142,3,A,young female,36
2019,142,2,A,old female,35
2019,142,40,A,old female,34
2019,142,40,A,old female,33
2019,143,10,A,young female,66
2019,143,66,A,young female,66
2019,143,66,A,young female,65
2019,143,67,A,young female,64
2019,143,67,A,young female,63
2019,143,17,A,young female,53
2019,143,55,A,young female,49
2019,143,15,A,young female,49
2019,143,64,A,old female,47
2019,143,29,A,young female,45
2019,143,50,A,old female,44
2019,143,20,A,young female,44
2019,143,63,A,old female,43
2019,143,61,A,old female,40
2019,143,11,A,young female,39
2019,143,4,A,old female,38
2019,143,40,A,old female,35
2019,143,73,A,old female,35
2019,143,37,A,old female,34
2019,143,32,A,young female,34
2019,143,2,A,old female,33
2019,143,38,A,young female,33
2019,143,6,A,old female,30
2019,144,6,A,old female,73
2019,144,20,A,young female,71
2019,144,61,A,old female,71
2019,144,61,A,old female,70
2019,144,64,A,old female,70
2019,144,72,A,old female,67
2019,144,63,A,old female,63
2019,144,11,A,young female,62
2019,144,3,A,young female,62
2019,144,17,A,young female,62
2019,144,66,A,young female,62
2019,144,55,A,young female,61
2019,144,15,A,young female,60
2019,144,15,A,young female,59
2019,144,10,A,young female,59
2019,144,10,A,young female,58
2019,144,72,A,old female,57
2019,144,72,A,old female,56
2019,144,37,A,old female,56
2019,144,73,A,old female,55
2019,144,13,A,old female,50
2019,144,27,A,young female,49
2019,144,35,A,young female,49
2019,144,35,A,young female,48
2019,144,19,A,old female,48
2019,144,38,A,young female,47
2019,144,19,A,old female,47
2019,144,30,A,young female,47
2019,144,19,A,old female,46
2019,144,47,A,young female,46
2019,144,30,A,young female,46
2019,144,56,A,old female,41
2019,144,41,A,young female,35
2019,144,41,A,young female,34
2019,144,16,A,young female,34
2019,144,42,A,old female,34
2019,144,42,A,old female,33
2019,144,16,A,young female,33
2019,144,74,A,young female,31
2019,144,5,A,old female,30
2019,144,44,A,old female,30
2019,151,19,A,old female,74
2019,151,19,A,old female,73
2019,151,31,A,young female,72
2019,151,50,A,old female,72
2019,151,71,A,old female,69
2019,151,7,A,old female,65
2019,151,64,A,old female,64
2019,151,72,A,old female,64
2019,151,63,A,old female,63
2019,151,41,A,young female,61
2019,151,73,A,old female,61
2019,151,41,A,young female,60
2019,151,9,A,young female,60
2019,151,4,A,old female,58
2019,151,4,A,old female,57
2019,151,30,A,young female,56
2019,151,51,A,young female,55
2019,151,35,A,young female,55
2019,151,35,A,young female,54
2019,151,9,A,young female,52
2019,151,74,A,young female,52
2019,151,2,A,old female,50
2019,151,55,A,young female,47
2019,151,27,A,young female,47
2019,151,38,A,young female,46
2019,151,27,A,young female,46
2019,151,42,A,old female,44
2019,151,42,A,old female,43
2019,151,40,A,old female,42
2019,151,40,A,old female,41
2019,151,57,A,old female,38
2019,151,57,A,old female,37
2019,152,64,A,old female,68
2019,152,64,A,old female,67
2019,152,73,A,old female,67
2019,152,56,A,old female,64
2019,152,72,A,old female,60
2019,152,72,A,old female,59
2019,152,31,A,young female,58
2019,152,32,A,young female,57
2019,152,37,A,old female,55
2019,152,32,A,young female,55
2019,152,50,A,old female,52
2019,152,63,A,old female,47
2019,152,27,A,young female,44
2019,152,55,A,young female,41
2019,152,42,A,old female,41
2019,152,38,A,young female,40
2019,152,40,A,old female,40
2019,152,6,A,old female,40
2019,152,74,A,young female,39
2019,152,74,A,young female,38
2019,152,2,A,old female,38
2019,152,5,A,old female,31
2019,153,72,A,old female,72
2019,153,72,A,old female,71
2019,153,73,A,old female,71
2019,153,57,A,old female,64
